customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7000-QFVW,Male,0,Yes,No,63,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,64.85,4105.36,No
7001-QKTG,Female,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),30.69,484.83,No
7002-CIPQ,Female,0,No,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.37,1532.66,No
7003-UBFQ,Male,0,Yes,No,28,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),75.0,2126.62,No
7004-MAFB,Male,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.86,212.35,Yes
7005-VBEB,Female,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.35,741.46,No
7006-RFLC,Male,0,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,81.76,2844.32,No
7007-CPES,Female,0,Yes,No,37,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,83.06,3097.33,No
7008-YFIZ,Male,0,Yes,No,62,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,67.24,4262.06,No
7009-EYJK,Male,0,No,Yes,21,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),82.81,1775.86,No
7010-SZRH,Female,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.23,1145.58,No
7011-CMLZ,Female,0,No,Yes,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,98.29,1479.87,Yes
7012-KRGY,Female,0,Yes,Yes,64,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),55.67,3485.83,No
7013-LNIG,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,95.05,3165.63,No
